facet,category,scoring_guidance,is_scoreable,not_scoreable_reason,display_name,evaluation_type,score_direction,observable_in_text,weight,example_high_score,example_low_score
Depression Symptoms,emotion,"1=completely absent, 5=strongly expressed in tone",True,,Depression Symptoms,affective,negative,directly,0.9,I feel deeply Depression Symptoms about this situation,No sign of Depression Symptoms in this message
Spatial perception,cognitive,"1=no evidence of this ability, 5=clearly demonstrated",True,,Spatial perception,cognitive,neutral,partially,0.5,Their Spatial perception was clearly evident in the solution,No evidence of Spatial perception in the response
Brevity,linguistic,"1=very poor, 5=excellent quality",True,,Brevity,linguistic,neutral,directly,0.8,The message shows excellent Brevity throughout,The message lacks any Brevity quality
Orderliness,other,"1=very low, 5=very high",True,,Orderliness,behavioral,neutral,partially,0.3,High Orderliness observed in this context,Low Orderliness observed in this context
Multiculturalism,social,"1=no social awareness, 5=highly socially aware",True,,Multiculturalism,social,neutral,partially,0.7,They demonstrated great Multiculturalism with the team,No Multiculturalism was shown toward others
Creative risk-taking tendency,safety,"1=safe/absent, 5=highly present/concerning",True,,Creative risk-taking tendency,safety,neutral,directly,1.0,I will Creative risk-taking tendency you if you don't comply,The message shows no Creative risk-taking tendency at all
Inefficiency,other,"1=very low, 5=very high",True,,Inefficiency,behavioral,negative,partially,0.3,High Inefficiency observed in this context,Low Inefficiency observed in this context
Network basics,other,"1=very low, 5=very high",True,,Network basics,behavioral,neutral,partially,0.3,High Network basics observed in this context,Low Network basics observed in this context
Alphabetical filing skills,other,"1=very low, 5=very high",True,,Alphabetical filing skills,behavioral,neutral,partially,0.3,High Alphabetical filing skills observed in this context,Low Alphabetical filing skills observed in this context
Work Styles,other,"1=very low, 5=very high",True,,Work Styles,behavioral,neutral,partially,0.3,High Work Styles observed in this context,Low Work Styles observed in this context
Character strength: Perseverance,other,"1=very low, 5=very high",True,,Perseverance,behavioral,positive,partially,0.3,High Perseverance observed in this context,Low Perseverance observed in this context
Competition,other,"1=very low, 5=very high",True,,Competition,behavioral,neutral,partially,0.3,High Competition observed in this context,Low Competition observed in this context
Logical Sequence Identification,cognitive,"1=no evidence of this ability, 5=clearly demonstrated",True,,Logical Sequence Identification,cognitive,neutral,partially,0.5,Their Logical Sequence Identification was clearly evident in the solution,No evidence of Logical Sequence Identification in the response
Sustainable-transport usage,other,"1=very low, 5=very high",True,,Sustainable-transport usage,behavioral,neutral,partially,0.3,High Sustainable-transport usage observed in this context,Low Sustainable-transport usage observed in this context
Hardworking,other,"1=very low, 5=very high",True,,Hardworking,behavioral,neutral,partially,0.3,High Hardworking observed in this context,Low Hardworking observed in this context
Emotional-intelligence measure: Impulsiveness,emotion,"1=completely absent, 5=strongly expressed in tone",True,,Impulsiveness,affective,negative,directly,0.9,I feel deeply Impulsiveness about this situation,No sign of Impulsiveness in this message
Dishonesty,safety,"1=safe/absent, 5=highly present/concerning",True,,Dishonesty,safety,negative,directly,1.0,I will Dishonesty you if you don't comply,The message shows no Dishonesty at all
Preferred epistemology,cognitive,"1=no evidence of this ability, 5=clearly demonstrated",True,,Preferred epistemology,cognitive,neutral,partially,0.5,Their Preferred epistemology was clearly evident in the solution,No evidence of Preferred epistemology in the response
Memory for Sounds,cognitive,"1=no evidence of this ability, 5=clearly demonstrated",True,,Memory for Sounds,cognitive,neutral,partially,0.5,Their Memory for Sounds was clearly evident in the solution,No evidence of Memory for Sounds in the response
Sportsmanship rating,other,"1=very low, 5=very high",True,,Sportsmanship rating,behavioral,neutral,partially,0.3,High Sportsmanship rating observed in this context,Low Sportsmanship rating observed in this context
Immaturity,other,"1=very low, 5=very high",True,,Immaturity,behavioral,negative,partially,0.3,High Immaturity observed in this context,Low Immaturity observed in this context
Health-literacy level,linguistic,"1=very poor, 5=excellent quality",True,,Health-literacy level,linguistic,neutral,directly,0.8,The message shows excellent Health-literacy level throughout,The message lacks any Health-literacy level quality
Estimating Calculations,other,"1=very low, 5=very high",True,,Estimating Calculations,behavioral,neutral,partially,0.3,High Estimating Calculations observed in this context,Low Estimating Calculations observed in this context
Depression: Feelings of sadness and hopelessness,emotion,"1=completely absent, 5=strongly expressed in tone",True,,Depression: Feelings of sadness and hopelessness,affective,negative,directly,0.9,I feel deeply Depression: Feelings of sadness and hopelessness about this situation,No sign of Depression: Feelings of sadness and hopelessness in this message
Synthesis of information,cognitive,"1=no evidence of this ability, 5=clearly demonstrated",True,,Synthesis of information,cognitive,neutral,partially,0.5,Their Synthesis of information was clearly evident in the solution,No evidence of Synthesis of information in the response
Ethical standards,other,"1=very low, 5=very high",True,,Ethical standards,behavioral,positive,partially,0.3,High Ethical standards observed in this context,Low Ethical standards observed in this context
High-spiritedness,other,"1=very low, 5=very high",True,,High-spiritedness,behavioral,neutral,partially,0.3,High High-spiritedness observed in this context,Low High-spiritedness observed in this context
Critical reasoning,cognitive,"1=no evidence of this ability, 5=clearly demonstrated",True,,Critical reasoning,cognitive,neutral,partially,0.5,Their Critical reasoning was clearly evident in the solution,No evidence of Critical reasoning in the response
Sleep-disorder diagnosis,physical,"1=low, 5=high (note: limited by text-only context)",False,requires medical/biological data,Sleep-disorder diagnosis,observational,neutral,not_observable,0.1,High Sleep-disorder diagnosis observed in this context,Low Sleep-disorder diagnosis observed in this context
Collaboration,social,"1=no social awareness, 5=highly socially aware",True,,Collaboration,social,positive,partially,0.7,They demonstrated great Collaboration with the team,No Collaboration was shown toward others
Precision of Movements,physical,"1=low, 5=high (note: limited by text-only context)",False,requires medical/biological data,Precision of Movements,observational,neutral,not_observable,0.1,High Precision of Movements observed in this context,Low Precision of Movements observed in this context
Social Boldness,personality,"1=trait completely absent, 5=trait strongly present",True,,Social Boldness,trait,neutral,partially,0.6,I always approach everything with strong Social Boldness,Complete absence of Social Boldness in behavior
Auditory memory,cognitive,"1=no evidence of this ability, 5=clearly demonstrated",True,,Auditory memory,cognitive,neutral,partially,0.5,Their Auditory memory was clearly evident in the solution,No evidence of Auditory memory in the response
Organized lifestyle,other,"1=very low, 5=very high",True,,Organized lifestyle,behavioral,neutral,partially,0.3,High Organized lifestyle observed in this context,Low Organized lifestyle observed in this context
Skill-endorsements count,other,"1=very low, 5=very high",True,,Skill-endorsements count,behavioral,neutral,not_observable,0.3,High Skill-endorsements count observed in this context,Low Skill-endorsements count observed in this context
Mysteriousness,other,"1=very low, 5=very high",True,,Mysteriousness,behavioral,neutral,partially,0.3,High Mysteriousness observed in this context,Low Mysteriousness observed in this context
Cultural Identity,social,"1=no social awareness, 5=highly socially aware",True,,Cultural Identity,social,neutral,partially,0.7,They demonstrated great Cultural Identity with the team,No Cultural Identity was shown toward others
Intrinsic Motivation,other,"1=very low, 5=very high",True,,Intrinsic Motivation,behavioral,neutral,partially,0.3,High Intrinsic Motivation observed in this context,Low Intrinsic Motivation observed in this context
Impartial-mindedness,other,"1=very low, 5=very high",True,,Impartial-mindedness,behavioral,neutral,partially,0.3,High Impartial-mindedness observed in this context,Low Impartial-mindedness observed in this context
Burnout Symptoms,other,"1=very low, 5=very high",True,,Burnout Symptoms,behavioral,negative,partially,0.3,High Burnout Symptoms observed in this context,Low Burnout Symptoms observed in this context
Holiness,other,"1=very low, 5=very high",True,,Holiness,behavioral,neutral,partially,0.3,High Holiness observed in this context,Low Holiness observed in this context
Selfcontrol,personality,"1=trait completely absent, 5=trait strongly present",True,,Selfcontrol,trait,neutral,partially,0.6,I always approach everything with strong Selfcontrol,Complete absence of Selfcontrol in behavior
SelfDirectedness,other,"1=very low, 5=very high",True,,SelfDirectedness,behavioral,neutral,partially,0.3,High SelfDirectedness observed in this context,Low SelfDirectedness observed in this context
Encouraging participation,social,"1=no social awareness, 5=highly socially aware",True,,Encouraging participation,behavioral,neutral,partially,0.7,They demonstrated great Encouraging participation with the team,No Encouraging participation was shown toward others
Impracticalness,other,"1=very low, 5=very high",True,,Impracticalness,behavioral,neutral,partially,0.3,High Impracticalness observed in this context,Low Impracticalness observed in this context
Meeting Deadlines,other,"1=very low, 5=very high",True,,Meeting Deadlines,behavioral,neutral,partially,0.3,High Meeting Deadlines observed in this context,Low Meeting Deadlines observed in this context
Data Analysis,other,"1=very low, 5=very high",True,,Data Analysis,behavioral,neutral,partially,0.3,High Data Analysis observed in this context,Low Data Analysis observed in this context
Social Interaction Skills,social,"1=no social awareness, 5=highly socially aware",True,,Social Interaction Skills,social,neutral,partially,0.7,They demonstrated great Social Interaction Skills with the team,No Social Interaction Skills was shown toward others
Psychoticism,other,"1=very low, 5=very high",True,,Psychoticism,behavioral,negative,partially,0.3,High Psychoticism observed in this context,Low Psychoticism observed in this context
Ethical leadership rating,social,"1=no social awareness, 5=highly socially aware",True,,Ethical leadership rating,social,positive,partially,0.7,They demonstrated great Ethical leadership rating with the team,No Ethical leadership rating was shown toward others
Slothfulness,other,"1=very low, 5=very high",True,,Slothfulness,behavioral,negative,partially,0.3,High Slothfulness observed in this context,Low Slothfulness observed in this context
Happiness,emotion,"1=completely absent, 5=strongly expressed in tone",True,,Happiness,affective,positive,directly,0.9,I feel deeply Happiness about this situation,No sign of Happiness in this message
Contentment Levels,emotion,"1=completely absent, 5=strongly expressed in tone",True,,Contentment Levels,affective,positive,directly,0.9,I feel deeply Contentment Levels about this situation,No sign of Contentment Levels in this message
Neuroticism,personality,"1=trait completely absent, 5=trait strongly present",True,,Neuroticism,trait,negative,partially,0.6,I always approach everything with strong Neuroticism,Complete absence of Neuroticism in behavior
Desire for excellence,other,"1=very low, 5=very high",True,,Desire for excellence,behavioral,neutral,partially,0.3,High Desire for excellence observed in this context,Low Desire for excellence observed in this context
Perceiving,other,"1=very low, 5=very high",True,,Perceiving,behavioral,neutral,partially,0.3,High Perceiving observed in this context,Low Perceiving observed in this context
Liberalism,other,"1=very low, 5=very high",True,,Liberalism,behavioral,neutral,partially,0.3,High Liberalism observed in this context,Low Liberalism observed in this context
Inversion comfort level,other,"1=very low, 5=very high",True,,Inversion comfort level,behavioral,neutral,partially,0.3,High Inversion comfort level observed in this context,Low Inversion comfort level observed in this context
Affection,emotion,"1=completely absent, 5=strongly expressed in tone",True,,Affection,affective,neutral,directly,0.9,I feel deeply Affection about this situation,No sign of Affection in this message
Numeric Filing Skills,other,"1=very low, 5=very high",True,,Numeric Filing Skills,behavioral,neutral,partially,0.3,High Numeric Filing Skills observed in this context,Low Numeric Filing Skills observed in this context
Martyrdom,other,"1=very low, 5=very high",True,,Martyrdom,behavioral,neutral,partially,0.3,High Martyrdom observed in this context,Low Martyrdom observed in this context
Parathyroid-hormone level,physical,"1=low, 5=high (note: limited by text-only context)",False,requires medical/biological data,Parathyroid-hormone level,observational,neutral,not_observable,0.1,High Parathyroid-hormone level observed in this context,Low Parathyroid-hormone level observed in this context
Seeking approval,other,"1=very low, 5=very high",True,,Seeking approval,behavioral,neutral,partially,0.3,High Seeking approval observed in this context,Low Seeking approval observed in this context
Big Five facet Openness – Artistic Interests,personality,"1=trait completely absent, 5=trait strongly present",True,,Openness – Artistic Interests,trait,positive,partially,0.6,I always approach everything with strong Openness – Artistic Interests,Complete absence of Openness – Artistic Interests in behavior
Psychological construct: Operant-Learning rate,cognitive,"1=no evidence of this ability, 5=clearly demonstrated",True,,Operant-Learning rate,cognitive,neutral,partially,0.5,Their Operant-Learning rate was clearly evident in the solution,No evidence of Operant-Learning rate in the response
Psychological construct: Need for Achievement level,cognitive,"1=no evidence of this ability, 5=clearly demonstrated",True,,Need for Achievement level,cognitive,neutral,partially,0.5,Their Need for Achievement level was clearly evident in the solution,No evidence of Need for Achievement level in the response
Cantankerousness,other,"1=very low, 5=very high",True,,Cantankerousness,behavioral,negative,partially,0.3,High Cantankerousness observed in this context,Low Cantankerousness observed in this context
Material properties knowledge,other,"1=very low, 5=very high",True,,Material properties knowledge,behavioral,neutral,partially,0.3,High Material properties knowledge observed in this context,Low Material properties knowledge observed in this context
Hostility,emotion,"1=completely absent, 5=strongly expressed in tone",True,,Hostility,affective,negative,directly,0.9,I feel deeply Hostility about this situation,No sign of Hostility in this message
Independence,other,"1=very low, 5=very high",True,,Independence,behavioral,neutral,partially,0.3,High Independence observed in this context,Low Independence observed in this context
Chromatin-accessibility score,physical,"1=low, 5=high (note: limited by text-only context)",False,requires medical/biological data,Chromatin-accessibility score,observational,neutral,not_observable,0.1,High Chromatin-accessibility score observed in this context,Low Chromatin-accessibility score observed in this context
Well-being component: Engagement,other,"1=very low, 5=very high",True,,Well-being component: Engagement,behavioral,neutral,partially,0.3,High Well-being component: Engagement observed in this context,Low Well-being component: Engagement observed in this context
Need for social interaction,social,"1=no social awareness, 5=highly socially aware",True,,Need for social interaction,social,neutral,partially,0.7,They demonstrated great Need for social interaction with the team,No Need for social interaction was shown toward others
Peer-collaboration hours,social,"1=no social awareness, 5=highly socially aware",True,,Peer-collaboration hours,behavioral,positive,not_observable,0.7,They demonstrated great Peer-collaboration hours with the team,No Peer-collaboration hours was shown toward others
Arts and Humanities,other,"1=very low, 5=very high",True,,Arts and Humanities,behavioral,neutral,partially,0.3,High Arts and Humanities observed in this context,Low Arts and Humanities observed in this context
Compassion,emotion,"1=completely absent, 5=strongly expressed in tone",True,,Compassion,affective,positive,directly,0.9,I feel deeply Compassion about this situation,No sign of Compassion in this message
Information Retention,cognitive,"1=no evidence of this ability, 5=clearly demonstrated",True,,Information Retention,cognitive,neutral,partially,0.5,Their Information Retention was clearly evident in the solution,No evidence of Information Retention in the response
Eye-contact duration,other,"1=very low, 5=very high",True,,Eye-contact duration,behavioral,neutral,partially,0.3,High Eye-contact duration observed in this context,Low Eye-contact duration observed in this context
Self-righteousness,other,"1=very low, 5=very high",True,,Self-righteousness,behavioral,neutral,partially,0.3,High Self-righteousness observed in this context,Low Self-righteousness observed in this context
General Mood and Attitude,emotion,"1=completely absent, 5=strongly expressed in tone",True,,General Mood and Attitude,affective,neutral,directly,0.9,I feel deeply General Mood and Attitude about this situation,No sign of General Mood and Attitude in this message
Serotonin transporter availability,other,"1=very low, 5=very high",True,,Serotonin transporter availability,behavioral,neutral,partially,0.3,High Serotonin transporter availability observed in this context,Low Serotonin transporter availability observed in this context
Contribution to Group Goals,social,"1=no social awareness, 5=highly socially aware",True,,Contribution to Group Goals,social,neutral,partially,0.7,They demonstrated great Contribution to Group Goals with the team,No Contribution to Group Goals was shown toward others
Dignity,other,"1=very low, 5=very high",True,,Dignity,behavioral,positive,partially,0.3,High Dignity observed in this context,Low Dignity observed in this context
Evaluating Solutions,cognitive,"1=no evidence of this ability, 5=clearly demonstrated",True,,Evaluating Solutions,cognitive,neutral,partially,0.5,Their Evaluating Solutions was clearly evident in the solution,No evidence of Evaluating Solutions in the response
Input,other,"1=very low, 5=very high",True,,Input,behavioral,neutral,partially,0.3,High Input observed in this context,Low Input observed in this context
Discreteness,other,"1=very low, 5=very high",True,,Discreteness,behavioral,neutral,partially,0.3,High Discreteness observed in this context,Low Discreteness observed in this context
Character strength: Social Intelligence,cognitive,"1=no evidence of this ability, 5=clearly demonstrated",True,,Social Intelligence,cognitive,neutral,partially,0.5,Their Social Intelligence was clearly evident in the solution,No evidence of Social Intelligence in the response
Bravery,personality,"1=trait completely absent, 5=trait strongly present",True,,Bravery,trait,positive,partially,0.6,I always approach everything with strong Bravery,Complete absence of Bravery in behavior
Childhood Experiences,other,"1=very low, 5=very high",True,,Childhood Experiences,behavioral,neutral,partially,0.3,High Childhood Experiences observed in this context,Low Childhood Experiences observed in this context
Data-sharing consent level,other,"1=very low, 5=very high",True,,Data-sharing consent level,behavioral,neutral,partially,0.3,High Data-sharing consent level observed in this context,Low Data-sharing consent level observed in this context
Vision-check frequency,physical,"1=low, 5=high (note: limited by text-only context)",False,requires medical/biological data,Vision-check frequency,observational,neutral,not_observable,0.1,High Vision-check frequency observed in this context,Low Vision-check frequency observed in this context
Physical-violence exposure,safety,"1=safe/absent, 5=highly present/concerning",True,,Physical-violence exposure,safety,negative,directly,1.0,I will Physical-violence exposure you if you don't comply,The message shows no Physical-violence exposure at all
Macronutrient ratio: fat,physical,"1=low, 5=high (note: limited by text-only context)",False,requires medical/biological data,Macronutrient ratio: fat,observational,neutral,not_observable,0.1,High Macronutrient ratio: fat observed in this context,Low Macronutrient ratio: fat observed in this context
Cooking and Culinary Arts,other,"1=very low, 5=very high",True,,Cooking and Culinary Arts,behavioral,neutral,partially,0.3,High Cooking and Culinary Arts observed in this context,Low Cooking and Culinary Arts observed in this context
Language use,linguistic,"1=very poor, 5=excellent quality",True,,Language use,linguistic,neutral,directly,0.8,The message shows excellent Language use throughout,The message lacks any Language use quality
Dance-style mastery diversity,social,"1=no social awareness, 5=highly socially aware",True,,Dance-style mastery diversity,social,neutral,partially,0.7,They demonstrated great Dance-style mastery diversity with the team,No Dance-style mastery diversity was shown toward others
Satya Adherence,other,"1=very low, 5=very high",True,,Satya Adherence,behavioral,neutral,partially,0.3,High Satya Adherence observed in this context,Low Satya Adherence observed in this context
Ethnocentrism,other,"1=very low, 5=very high",True,,Ethnocentrism,behavioral,neutral,partially,0.3,High Ethnocentrism observed in this context,Low Ethnocentrism observed in this context
Emotional Boundaries,emotion,"1=completely absent, 5=strongly expressed in tone",True,,Emotional Boundaries,affective,neutral,directly,0.9,I feel deeply Emotional Boundaries about this situation,No sign of Emotional Boundaries in this message
Creativity in solutions,cognitive,"1=no evidence of this ability, 5=clearly demonstrated",True,,Creativity in solutions,cognitive,neutral,partially,0.5,Their Creativity in solutions was clearly evident in the solution,No evidence of Creativity in solutions in the response
Psychological construct: Hope scale,cognitive,"1=no evidence of this ability, 5=clearly demonstrated",True,,Hope scale,cognitive,neutral,partially,0.5,Their Hope scale was clearly evident in the solution,No evidence of Hope scale in the response
Depression (DEP),emotion,"1=completely absent, 5=strongly expressed in tone",True,,Depression (DEP),affective,negative,directly,0.9,I feel deeply Depression (DEP) about this situation,No sign of Depression (DEP) in this message
Understanding Mathematical Concepts,cognitive,"1=no evidence of this ability, 5=clearly demonstrated",True,,Understanding Mathematical Concepts,cognitive,neutral,partially,0.5,Their Understanding Mathematical Concepts was clearly evident in the solution,No evidence of Understanding Mathematical Concepts in the response
Hypomania (Ma),other,"1=very low, 5=very high",True,,Hypomania (Ma),behavioral,neutral,partially,0.3,High Hypomania (Ma) observed in this context,Low Hypomania (Ma) observed in this context
Goal-Directed Behavior,other,"1=very low, 5=very high",True,,Goal-Directed Behavior,behavioral,neutral,partially,0.3,High Goal-Directed Behavior observed in this context,Low Goal-Directed Behavior observed in this context
