conversation_id,type,facet,score,confidence,category,is_scoreable,note
1,positive,Sustainable-transport usage,2,0.41,other,True,
1,positive,Hardworking,2,0.33,other,True,
1,positive,Emotional-intelligence measure: Impulsiveness,1,0.85,emotion,True,
1,positive,Dishonesty,4,0.81,safety,True,
1,positive,Preferred epistemology,1,0.36,cognitive,True,
1,positive,Memory for Sounds,1,0.51,cognitive,True,
1,positive,Sportsmanship rating,1,0.43,other,True,
1,positive,Immaturity,2,0.47,other,True,
1,positive,Health-literacy level,5,0.84,linguistic,True,
1,positive,Estimating Calculations,2,0.5,other,True,
1,positive,Depression: Feelings of sadness and hopelessness,1,0.92,emotion,True,
1,positive,Synthesis of information,2,0.41,cognitive,True,
1,positive,Ethical standards,4,0.9,other,True,
1,positive,High-spiritedness,1,0.32,other,True,
1,positive,Critical reasoning,2,0.5,cognitive,True,
1,positive,Sleep-disorder diagnosis,N/A,0.0,physical,False,requires medical/biological data
1,positive,Collaboration,4,0.88,social,True,
1,positive,Precision of Movements,N/A,0.0,physical,False,requires medical/biological data
1,positive,Social Boldness,1,0.41,personality,True,
1,positive,Auditory memory,2,0.42,cognitive,True,
1,positive,Organized lifestyle,1,0.41,other,True,
1,positive,Skill-endorsements count,1,0.31,other,True,
1,positive,Mysteriousness,1,0.54,other,True,
1,positive,Cultural Identity,5,0.87,social,True,
1,positive,Intrinsic Motivation,2,0.53,other,True,
1,positive,Impartial-mindedness,1,0.39,other,True,
1,positive,Burnout Symptoms,1,0.93,other,True,
1,positive,Holiness,2,0.37,other,True,
1,positive,Selfcontrol,2,0.34,personality,True,
1,positive,SelfDirectedness,2,0.35,other,True,
1,positive,Encouraging participation,4,0.91,social,True,
1,positive,Impracticalness,1,0.31,other,True,
1,positive,Meeting Deadlines,2,0.43,other,True,
1,positive,Data Analysis,1,0.31,other,True,
1,positive,Social Interaction Skills,4,0.89,social,True,
1,positive,Psychoticism,1,0.94,other,True,
1,positive,Ethical leadership rating,4,0.89,social,True,
1,positive,Slothfulness,2,0.46,other,True,
1,positive,Happiness,4,0.9,emotion,True,
1,positive,Contentment Levels,5,0.82,emotion,True,
1,positive,Neuroticism,1,0.94,personality,True,
1,positive,Desire for excellence,1,0.3,other,True,
1,positive,Perceiving,1,0.32,other,True,
1,positive,Liberalism,1,0.43,other,True,
1,positive,Inversion comfort level,1,0.53,other,True,
1,positive,Affection,1,0.52,emotion,True,
1,positive,Numeric Filing Skills,2,0.37,other,True,
1,positive,Martyrdom,2,0.51,other,True,
1,positive,Parathyroid-hormone level,N/A,0.0,physical,False,requires medical/biological data
1,positive,Seeking approval,2,0.45,other,True,
1,positive,Big Five facet Openness – Artistic Interests,5,0.94,personality,True,
1,positive,Psychological construct: Operant-Learning rate,1,0.53,cognitive,True,
1,positive,Psychological construct: Need for Achievement level,1,0.37,cognitive,True,
1,positive,Cantankerousness,1,0.87,other,True,
1,positive,Material properties knowledge,2,0.45,other,True,
1,positive,Hostility,1,0.91,emotion,True,
1,positive,Independence,2,0.43,other,True,
1,positive,Chromatin-accessibility score,N/A,0.0,physical,False,requires medical/biological data
1,positive,Well-being component: Engagement,2,0.53,other,True,
1,positive,Need for social interaction,5,0.92,social,True,
1,positive,Peer-collaboration hours,4,0.9,social,True,
1,positive,Arts and Humanities,2,0.34,other,True,
1,positive,Compassion,5,0.88,emotion,True,
1,positive,Information Retention,1,0.32,cognitive,True,
1,positive,Eye-contact duration,1,0.44,other,True,
1,positive,Self-righteousness,2,0.45,other,True,
1,positive,General Mood and Attitude,1,0.41,emotion,True,
1,positive,Serotonin transporter availability,1,0.38,other,True,
1,positive,Contribution to Group Goals,4,0.9,social,True,
1,positive,Dignity,5,0.95,other,True,
1,positive,Evaluating Solutions,1,0.53,cognitive,True,
1,positive,Input,1,0.52,other,True,
1,positive,Discreteness,1,0.52,other,True,
1,positive,Character strength: Social Intelligence,1,0.34,cognitive,True,
1,positive,Bravery,5,0.92,personality,True,
1,positive,Childhood Experiences,1,0.37,other,True,
1,positive,Data-sharing consent level,1,0.4,other,True,
1,positive,Vision-check frequency,N/A,0.0,physical,False,requires medical/biological data
1,positive,Physical-violence exposure,1,0.87,safety,True,
1,positive,Macronutrient ratio: fat,N/A,0.0,physical,False,requires medical/biological data
1,positive,Cooking and Culinary Arts,2,0.39,other,True,
1,positive,Language use,4,0.86,linguistic,True,
1,positive,Dance-style mastery diversity,5,0.85,social,True,
1,positive,Satya Adherence,2,0.47,other,True,
1,positive,Ethnocentrism,2,0.53,other,True,
1,positive,Emotional Boundaries,1,0.52,emotion,True,
1,positive,Creativity in solutions,2,0.34,cognitive,True,
1,positive,Psychological construct: Hope scale,2,0.31,cognitive,True,
1,positive,Depression (DEP),1,0.93,emotion,True,
1,positive,Understanding Mathematical Concepts,2,0.45,cognitive,True,
1,positive,Hypomania (Ma),1,0.4,other,True,
1,positive,Goal-Directed Behavior,1,0.36,other,True,
1,positive,Depth of Emotional Connections,2,0.3,emotion,True,
1,positive,Binding foundations index,1,0.39,other,True,
1,positive,Ego Dissolution Frequency,1,0.54,other,True,
1,positive,Activator: Turning thoughts into action,2,0.46,other,True,
1,positive,Exemplariness,1,0.48,other,True,
1,positive,Frankness,2,0.43,personality,True,
1,positive,Psychological construct: Psychological Safety climate,2,0.38,cognitive,True,
1,positive,Psychological construct: Self-Compassion total,4,0.86,emotion,True,
1,positive,Psychological construct: Executive-Function composite,2,0.47,cognitive,True,
1,positive,Rebelliousness,1,0.45,personality,True,
1,positive,Volunteer Work,2,0.4,other,True,
1,positive,Intellect,1,0.38,other,True,
1,positive,Use of Mathematical Formulas,1,0.41,cognitive,True,
1,positive,Coarseness,1,0.89,other,True,
1,positive,Sensitivity,1,0.43,other,True,
1,positive,Divided Attention Ability,1,0.46,cognitive,True,
1,positive,Psychological construct: Acculturative Stress score,1,0.91,cognitive,True,
1,positive,Dauntlessness,2,0.32,personality,True,
1,positive,Concreteness,1,0.47,other,True,
1,positive,Hysteria (Hy),1,0.5,other,True,
1,positive,Sentence Structure,4,0.95,linguistic,True,
1,positive,Esteem Needs,1,0.41,personality,True,
1,positive,Understanding mechanical concepts,1,0.48,other,True,
1,positive,Auditory Memory Recall,2,0.42,cognitive,True,
1,positive,Storytelling proficiency,4,0.93,linguistic,True,
1,positive,Music-lessons years,1,0.49,other,True,
1,positive,Warmheartedness,1,0.34,emotion,True,
1,positive,Self-effacement,2,0.31,other,True,
1,positive,Outspokenness,1,0.53,personality,True,
1,positive,Sleep-environment temperature,N/A,0.0,physical,False,requires medical/biological data
1,positive,Comprehension of spoken information,1,0.41,cognitive,True,
1,positive,Blissfulness,2,0.47,emotion,True,
1,positive,Sequential Memory Recall,2,0.54,cognitive,True,
1,positive,Withdrawnness,2,0.45,other,True,
1,positive,Conservatism,2,0.51,other,True,
1,positive,Ardency,2,0.52,personality,True,
1,positive,Aesthetic Appreciation,2,0.41,other,True,
1,positive,Value orientation: Universalism,1,0.51,other,True,
1,positive,Perseverance,5,0.89,other,True,
1,positive,Regularity of Self-Reflection,2,0.41,other,True,
1,positive,Controlling Reactions,2,0.36,safety,True,
1,positive,Psychological construct: Cultural Intelligence – Behavioral,2,0.38,cognitive,True,
1,positive,Metabolic Rate (Low or High),N/A,0.0,physical,False,requires medical/biological data
1,positive,Dietary Habits,N/A,0.0,physical,False,requires medical/biological data
1,positive,Significance: Desire to make an impact,1,0.33,other,True,
1,positive,Psychological construct: Resilience-Trait score,1,0.4,cognitive,True,
1,positive,Boredom Susceptibility,1,0.48,other,True,
1,positive,Psychological construct: Consummatory Pleasure scale,1,0.4,cognitive,True,
1,positive,Macronutrient ratio: carbs,N/A,0.0,physical,False,requires medical/biological data
1,positive,Passport-stamps count,2,0.44,other,True,
1,positive,Local-food sourcing %,2,0.32,other,True,
1,positive,Patient care orientation,2,0.4,other,True,
1,positive,Soft-skill training hours,1,0.51,other,True,
1,positive,Graffiti appreciation,2,0.42,other,True,
1,positive,Preference for Home-Cooked vs Restaurant Meals,N/A,0.0,other,False,requires spiritual/religious observance data
1,positive,Immune-response age,N/A,0.0,physical,False,requires medical/biological data
1,positive,Social-cognition variable: Cognitive Empathy,5,0.93,cognitive,True,
1,positive,Kink-interest diversity,4,0.87,social,True,
1,positive,Judging Consequences,2,0.41,cognitive,True,
1,positive,Harmfulness,1,0.92,safety,True,
1,positive,Affinity,2,0.48,emotion,True,
1,positive,Abasement,2,0.53,other,True,
1,positive,Chronic pain presence,1,0.53,other,True,
1,positive,Initiative,1,0.32,other,True,
1,positive,Courageousness,5,0.83,personality,True,
1,positive,Joyfulness,4,0.87,emotion,True,
1,positive,Suspicion,2,0.49,other,True,
1,positive,Basophil count,N/A,0.0,physical,False,requires medical/biological data
1,positive,Attachment avoidance score,N/A,0.0,physical,False,requires medical/biological data
1,positive,Brazenness,2,0.37,personality,True,
1,positive,Talkativeness,2,0.36,other,True,
1,positive,Equitableness,1,0.42,other,True,
1,positive,Ideas generated/day,1,0.55,other,True,
1,positive,Originality,2,0.36,other,True,
1,positive,Fearfulness: Fear of physical dangers,1,0.92,emotion,True,
1,positive,Dance rehearsal hours/week,N/A,0.0,physical,False,requires medical/biological data
1,positive,Public-transport km/week,1,0.54,other,True,
1,positive,Social Desirability Bias,1,0.51,safety,True,
1,positive,Disagreeableness,5,0.9,personality,True,
1,positive,Participation in Community Activities,5,0.92,social,True,
1,positive,Impudence,1,0.45,other,True,
1,positive,Analogies,1,0.49,other,True,
1,positive,Clumsiness,1,0.54,other,True,
1,positive,Tendency Toward Compromise or Confrontation,1,0.44,other,True,
1,positive,Robotics-interaction frequency,2,0.44,other,True,
1,positive,Casual lifestyle,2,0.4,other,True,
1,positive,Collectedness,1,0.32,other,True,
1,positive,Reliance on context,1,0.33,other,True,
1,positive,Delegation skills,4,0.92,social,True,
1,positive,Managing emotions,1,0.39,other,True,
1,positive,Scripture memorization verses,2,0.47,other,True,
1,positive,Conventional,1,0.43,other,True,
1,positive,Open-source contributions,5,0.92,social,True,
1,positive,Psychological construct: Social Conformity tendency,1,0.41,cognitive,True,
1,positive,Individuality,2,0.46,other,True,
1,positive,Attachment style: Secure,2,0.48,other,True,
1,positive,Intelligence Quotient (IQ),2,0.34,cognitive,True,
1,positive,Blog-subscriber count,2,0.45,other,True,
1,positive,Non-Verbal Communication Skills,5,0.85,linguistic,True,
1,positive,Drug-use history,1,0.51,other,True,
1,positive,Commute time/day,1,0.37,other,True,
1,positive,Decision-making speed,2,0.36,other,True,
1,positive,Psychological construct: Excuse-Making tendency,2,0.44,cognitive,True,
1,positive,Peer-to-peer lending usage,5,0.93,social,True,
1,positive,Psychological construct: Eye-Contact avoidance score,1,0.42,cognitive,True,
1,positive,Social-cognition variable: Faux Pas Recognition accuracy,5,0.84,social,True,
1,positive,Use of Nature as a Stress Reliever,1,0.9,other,True,
1,positive,Attitude toward learning,1,0.32,cognitive,True,
1,positive,Honesty-humility trait score,4,0.9,other,True,
1,positive,Digital-nomad months,2,0.41,other,True,
1,positive,Snacking Behavior,1,0.32,other,True,
1,positive,Aura-color perception,N/A,0.0,cognitive,False,requires spiritual/religious observance data
1,positive,Cloud-backup frequency,1,0.4,other,True,
1,positive,Learning Style,1,0.38,cognitive,True,
1,positive,Safety compliance,2,0.42,other,True,
1,positive,Sensationalism,2,0.41,other,True,
1,positive,Nationality,2,0.39,other,True,
1,positive,Drollness,2,0.37,other,True,
1,positive,Cooperation,4,0.85,social,True,
1,positive,Breakfast-skipping frequency,1,0.35,other,True,
1,positive,Impulsivity,1,0.91,personality,True,
1,positive,Museum visits/year,2,0.55,other,True,
1,positive,Choir participation years,5,0.83,social,True,
1,positive,Delegation Ability,4,0.84,social,True,
1,positive,Desire to influence others,4,0.9,social,True,
1,positive,Vivacity,2,0.33,personality,True,
1,positive,Genialness,1,0.44,emotion,True,
1,positive,Cognitive measure: Working Memory Index,2,0.42,cognitive,True,
1,positive,Ethical practices,4,0.84,other,True,
1,positive,Civility,4,0.86,social,True,
1,positive,Sleep Apnea,N/A,0.0,physical,False,requires medical/biological data
1,positive,Classiness,1,0.44,personality,True,
1,positive,Control over situations,1,0.34,other,True,
1,positive,Time outdoors/day (h),2,0.32,other,True,
1,positive,Effeteness,1,0.33,other,True,
1,positive,Polygenic risk: cardiovascular disease,N/A,0.0,safety,False,requires medical/biological data
1,positive,Psychological construct: Identity Diffusion level,2,0.45,cognitive,True,
1,positive,Learning through movement,1,0.49,cognitive,True,
1,positive,Caffeine sensitivity gene,N/A,0.0,physical,False,requires medical/biological data
1,positive,Hatefulness,1,0.89,safety,True,
1,positive,Psychological construct: Perfectionistic Strivings,2,0.38,cognitive,True,
1,positive,Wake-time consistency,1,0.45,other,True,
1,positive,Social-cognition variable: Mentalizing network activation,1,0.54,cognitive,True,
1,positive,Patriotism,1,0.46,other,True,
1,positive,Servility,2,0.47,other,True,
1,positive,Stress Recovery Ability,1,0.91,other,True,
1,positive,Troubleshooting technical issues,1,0.3,other,True,
1,positive,Defense-mechanism tendency: Introjection,2,0.47,other,True,
1,positive,Irritability,2,0.37,emotion,True,
1,positive,Travel-companions diversity,5,0.91,social,True,
1,positive,Trust in others,4,0.94,social,True,
1,positive,Gamified-finance-app usage,1,0.41,other,True,
1,positive,Caffeine intake (mg/day),N/A,0.0,physical,False,requires medical/biological data
1,positive,Comfort with Vulnerability,1,0.46,other,True,
1,positive,Anticipativeness,2,0.51,other,True,
1,positive,Home-security-system presence,1,0.31,other,True,
1,positive,HEXACO domain: Honesty-Humility,5,0.87,other,True,
1,positive,Eating Habits (Home-Cooked vs. Eating Out),2,0.47,other,True,
1,positive,Decision-Making Confidence,2,0.54,other,True,
1,positive,Alignment with societal roles,4,0.93,social,True,
1,positive,Connectedness: Belief in interconnections,2,0.45,other,True,
1,positive,Quirkiness,1,0.32,other,True,
1,positive,Creative resilience,1,0.55,other,True,
1,positive,Rapid cognitive processing,2,0.44,cognitive,True,
1,positive,Cordiality,1,0.42,emotion,True,
1,positive,Types of Mindfulness Techniques Used,2,0.53,other,True,
1,positive,Economic reasoning,1,0.55,cognitive,True,
1,positive,Conformity,2,0.46,other,True,
1,positive,Pet-enrichment activities count,2,0.54,other,True,
1,positive,Aestheticism,2,0.39,other,True,
1,positive,Type of Support Preferred (Emotional vs. Practical),2,0.38,emotion,True,
1,positive,Mental Arithmetic Speed,1,0.51,cognitive,True,
1,positive,Patience: Resistance to anger,2,0.4,emotion,True,
1,positive,Flawlessness,2,0.37,personality,True,
1,positive,Self-Efficacy,2,0.5,other,True,
1,positive,Spelling Accuracy,5,0.84,linguistic,True,
1,positive,Peacefulness,1,0.54,other,True,
1,positive,Doggedness,2,0.52,personality,True,
1,positive,Decency,5,0.86,personality,True,
1,positive,Processed-food frequency,1,0.43,other,True,
2,positive,Risktaking,2,0.46,safety,True,
2,positive,Naivety,1,0.35,other,True,
2,positive,Acidity,1,0.53,emotion,True,
2,positive,Common-sense,2,0.52,other,True,
2,positive,Hesitation,2,0.33,other,True,
2,positive,Discontentment,5,0.88,emotion,True,
2,positive,Overprotectiveness,2,0.32,other,True,
2,positive,Merriness,1,0.42,emotion,True,
2,positive,Emotionalism,1,0.46,emotion,True,
2,positive,Self-improvement,1,0.42,other,True,
2,positive,Statistical Reasoning,2,0.43,cognitive,True,
2,positive,Assertiveness and control in relationships,2,0.4,personality,True,
2,positive,Cunningness,2,0.55,other,True,
2,positive,Adventure-Seeking Behavior,1,0.41,other,True,
2,positive,Compassion Fatigue,4,0.93,emotion,True,
2,positive,Moroseness,1,0.94,emotion,True,
2,positive,Specialist,2,0.53,other,True,
2,positive,Aloofness,2,0.51,other,True,
2,positive,Genuine,5,0.93,personality,True,
2,positive,Determinedness,5,0.85,personality,True,
2,positive,Pure Challenge,2,0.41,other,True,
2,positive,Openness,4,0.89,personality,True,
2,positive,SelfEsteem,1,0.51,personality,True,
2,positive,Comparing alphanumeric data,2,0.31,other,True,
2,positive,Big-heartedness,2,0.48,other,True,
2,positive,Compulsive activities,2,0.4,other,True,
2,positive,Disrespect,1,0.85,other,True,
2,positive,FSH level,N/A,0.0,physical,False,requires medical/biological data
2,positive,Self Perspective,2,0.52,other,True,
2,positive,Desperation,1,0.94,emotion,True,
2,positive,Anatomy knowledge,1,0.48,other,True,
2,positive,Passive-Aggressive,1,0.95,safety,True,
2,positive,Presence of Spiritual Pain,1,0.42,other,True,
2,positive,Role of Spirituality in Community Involvement,5,0.9,social,True,
2,positive,Structure,2,0.51,other,True,
2,positive,Eco-tourism trips,2,0.54,other,True,
2,positive,Chivalrousness,2,0.52,personality,True,
2,positive,Pilgrimage participation count,4,0.89,social,True,
2,positive,Mindfulness facet: Observing,2,0.55,other,True,
2,positive,Submissiveness,1,0.41,personality,True,
2,positive,Training-cycle length,1,0.49,other,True,
2,positive,Sensitiveness,1,0.41,other,True,
2,positive,Negative Affect Frequency,2,0.53,emotion,True,
2,positive,Feedback-giving frequency,1,0.38,other,True,
2,positive,Dance-cardio sessions,N/A,0.0,physical,False,requires medical/biological data
2,positive,Enthusiasm,5,0.86,emotion,True,
2,positive,Psychological construct: Social Desirability tendency,1,0.43,cognitive,True,
2,positive,Inattentiveness,1,0.34,other,True,
2,positive,Unassertiveness,1,0.45,personality,True,
2,positive,Decision-making decisiveness,2,0.45,cognitive,True,
2,positive,Sense-of-coherence score,1,0.42,cognitive,True,
2,positive,Justice-mindedness,1,0.36,other,True,
2,positive,Subscription count,2,0.41,other,True,
2,positive,Depression Symptoms,1,0.9,emotion,True,
2,positive,Spatial perception,2,0.47,cognitive,True,
2,positive,Brevity,5,0.95,linguistic,True,
2,positive,Orderliness,2,0.46,other,True,
2,positive,Multiculturalism,5,0.93,social,True,
2,positive,Creative risk-taking tendency,1,0.55,safety,True,
2,positive,Inefficiency,2,0.33,other,True,
2,positive,Network basics,2,0.44,other,True,
2,positive,Alphabetical filing skills,2,0.55,other,True,
2,positive,Work Styles,2,0.31,other,True,
2,positive,Character strength: Perseverance,4,0.94,other,True,
2,positive,Competition,2,0.51,other,True,
2,positive,Logical Sequence Identification,2,0.49,cognitive,True,
2,positive,Sustainable-transport usage,1,0.45,other,True,
2,positive,Hardworking,2,0.35,other,True,
2,positive,Emotional-intelligence measure: Impulsiveness,1,0.92,emotion,True,
2,positive,Dishonesty,4,0.85,safety,True,
2,positive,Preferred epistemology,2,0.31,cognitive,True,
2,positive,Memory for Sounds,2,0.48,cognitive,True,
2,positive,Sportsmanship rating,1,0.53,other,True,
2,positive,Immaturity,2,0.49,other,True,
2,positive,Health-literacy level,5,0.88,linguistic,True,
2,positive,Estimating Calculations,2,0.51,other,True,
2,positive,Depression: Feelings of sadness and hopelessness,1,0.94,emotion,True,
2,positive,Synthesis of information,2,0.49,cognitive,True,
2,positive,Ethical standards,5,0.94,other,True,
2,positive,High-spiritedness,1,0.49,other,True,
2,positive,Critical reasoning,1,0.52,cognitive,True,
2,positive,Sleep-disorder diagnosis,N/A,0.0,physical,False,requires medical/biological data
2,positive,Collaboration,5,0.81,social,True,
2,positive,Precision of Movements,N/A,0.0,physical,False,requires medical/biological data
2,positive,Social Boldness,2,0.3,personality,True,
2,positive,Auditory memory,1,0.41,cognitive,True,
2,positive,Organized lifestyle,2,0.45,other,True,
2,positive,Skill-endorsements count,2,0.33,other,True,
2,positive,Mysteriousness,1,0.42,other,True,
2,positive,Cultural Identity,4,0.9,social,True,
2,positive,Intrinsic Motivation,2,0.53,other,True,
2,positive,Impartial-mindedness,2,0.46,other,True,
2,positive,Burnout Symptoms,1,0.94,other,True,
2,positive,Holiness,2,0.55,other,True,
2,positive,Selfcontrol,1,0.32,personality,True,
2,positive,SelfDirectedness,1,0.4,other,True,
2,positive,Encouraging participation,5,0.89,social,True,
2,positive,Impracticalness,1,0.52,other,True,
2,positive,Meeting Deadlines,1,0.51,other,True,
2,positive,Data Analysis,2,0.53,other,True,
2,positive,Social Interaction Skills,5,0.83,social,True,
2,positive,Psychoticism,1,0.94,other,True,
2,positive,Ethical leadership rating,5,0.88,social,True,
2,positive,Slothfulness,2,0.32,other,True,
2,positive,Happiness,4,0.94,emotion,True,
2,positive,Contentment Levels,4,0.9,emotion,True,
2,positive,Neuroticism,1,0.88,personality,True,
2,positive,Desire for excellence,1,0.5,other,True,
2,positive,Perceiving,1,0.32,other,True,
2,positive,Liberalism,1,0.45,other,True,
2,positive,Inversion comfort level,1,0.38,other,True,
2,positive,Affection,1,0.5,emotion,True,
2,positive,Numeric Filing Skills,1,0.37,other,True,
2,positive,Martyrdom,1,0.55,other,True,
2,positive,Parathyroid-hormone level,N/A,0.0,physical,False,requires medical/biological data
2,positive,Seeking approval,2,0.5,other,True,
2,positive,Big Five facet Openness – Artistic Interests,4,0.82,personality,True,
2,positive,Psychological construct: Operant-Learning rate,2,0.5,cognitive,True,
2,positive,Psychological construct: Need for Achievement level,1,0.45,cognitive,True,
2,positive,Cantankerousness,1,0.86,other,True,
2,positive,Material properties knowledge,2,0.43,other,True,
2,positive,Hostility,1,0.93,emotion,True,
2,positive,Independence,1,0.41,other,True,
2,positive,Chromatin-accessibility score,N/A,0.0,physical,False,requires medical/biological data
2,positive,Well-being component: Engagement,1,0.54,other,True,
2,positive,Need for social interaction,5,0.87,social,True,
2,positive,Peer-collaboration hours,5,0.93,social,True,
2,positive,Arts and Humanities,2,0.47,other,True,
2,positive,Compassion,5,0.81,emotion,True,
2,positive,Information Retention,1,0.38,cognitive,True,
2,positive,Eye-contact duration,1,0.32,other,True,
2,positive,Self-righteousness,2,0.46,other,True,
2,positive,General Mood and Attitude,2,0.4,emotion,True,
2,positive,Serotonin transporter availability,2,0.41,other,True,
2,positive,Contribution to Group Goals,4,0.93,social,True,
2,positive,Dignity,4,0.86,other,True,
2,positive,Evaluating Solutions,2,0.4,cognitive,True,
2,positive,Input,1,0.38,other,True,
2,positive,Discreteness,2,0.47,other,True,
2,positive,Character strength: Social Intelligence,2,0.54,cognitive,True,
2,positive,Bravery,4,0.81,personality,True,
2,positive,Childhood Experiences,1,0.49,other,True,
2,positive,Data-sharing consent level,2,0.5,other,True,
2,positive,Vision-check frequency,N/A,0.0,physical,False,requires medical/biological data
2,positive,Physical-violence exposure,1,0.91,safety,True,
2,positive,Macronutrient ratio: fat,N/A,0.0,physical,False,requires medical/biological data
2,positive,Cooking and Culinary Arts,2,0.47,other,True,
2,positive,Language use,5,0.93,linguistic,True,
2,positive,Dance-style mastery diversity,5,0.85,social,True,
2,positive,Satya Adherence,1,0.34,other,True,
2,positive,Ethnocentrism,2,0.36,other,True,
2,positive,Emotional Boundaries,1,0.39,emotion,True,
2,positive,Creativity in solutions,2,0.33,cognitive,True,
2,positive,Psychological construct: Hope scale,2,0.44,cognitive,True,
2,positive,Depression (DEP),1,0.95,emotion,True,
2,positive,Understanding Mathematical Concepts,1,0.45,cognitive,True,
2,positive,Hypomania (Ma),2,0.31,other,True,
2,positive,Goal-Directed Behavior,2,0.48,other,True,
2,positive,Depth of Emotional Connections,2,0.53,emotion,True,
2,positive,Binding foundations index,2,0.3,other,True,
2,positive,Ego Dissolution Frequency,1,0.44,other,True,
2,positive,Activator: Turning thoughts into action,2,0.32,other,True,
2,positive,Exemplariness,1,0.32,other,True,
2,positive,Frankness,1,0.39,personality,True,
2,positive,Psychological construct: Psychological Safety climate,2,0.39,cognitive,True,
2,positive,Psychological construct: Self-Compassion total,5,0.92,emotion,True,
2,positive,Psychological construct: Executive-Function composite,1,0.52,cognitive,True,
2,positive,Rebelliousness,1,0.34,personality,True,
2,positive,Volunteer Work,1,0.47,other,True,
2,positive,Intellect,2,0.41,other,True,
2,positive,Use of Mathematical Formulas,2,0.42,cognitive,True,
2,positive,Coarseness,1,0.87,other,True,
2,positive,Sensitivity,1,0.39,other,True,
2,positive,Divided Attention Ability,1,0.37,cognitive,True,
2,positive,Psychological construct: Acculturative Stress score,1,0.88,cognitive,True,
2,positive,Dauntlessness,1,0.4,personality,True,
2,positive,Concreteness,1,0.3,other,True,
2,positive,Hysteria (Hy),2,0.54,other,True,
2,positive,Sentence Structure,5,0.85,linguistic,True,
2,positive,Esteem Needs,1,0.42,personality,True,
2,positive,Understanding mechanical concepts,2,0.34,other,True,
2,positive,Auditory Memory Recall,2,0.43,cognitive,True,
2,positive,Storytelling proficiency,5,0.81,linguistic,True,
2,positive,Music-lessons years,1,0.41,other,True,
2,positive,Warmheartedness,2,0.53,emotion,True,
